선수,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,wOBA,wRC+,WAR+,생일,시즌
박경완04SC,132,526,410,94,121,19,1,34,244,79,2,5,94,14,3,126,9,6,2,0.295,0.44,0.595,1.036,0.451,177.9,8.36,1972-07-11,2004
강정호12넥SS,124,519,436,77,137,32,0,25,244,82,21,5,71,6,8,78,16,1,5,0.314,0.413,0.56,0.973,0.438,179.8,8.23,1987-04-05,2012
양준혁97삼RF,126,561,442,94,145,32,5,30,277,98,25,17,103,7,27,75,7,0,8,0.328,0.455,0.627,1.082,0.457,189.3,8.17,1969-05-26,1997
이병규99LCF,131,599,550,117,192,43,8,30,341,99,31,3,34,9,6,65,11,2,4,0.349,0.394,0.62,1.014,0.426,155.2,8.07,1974-10-25,1999
강정호14넥SS,117,501,418,103,149,36,2,40,309,117,3,3,68,13,2,106,8,0,2,0.356,0.459,0.739,1.198,0.5,185.6,8.05,1987-04-05,2014
박석민12삼3B,127,549,443,79,138,19,3,23,232,91,2,3,72,27,5,83,8,2,5,0.312,0.433,0.524,0.957,0.438,179.9,7.89,1985-06-22,2012
호세01롯LF,117,499,367,90,123,20,2,36,255,102,7,4,127,1,28,72,4,0,4,0.335,0.503,0.695,1.198,0.498,199.3,7.89,1965-06-02,2001
이정후22키CF,129,564,496,72,168,29,9,21,278,98,3,0,60,5,12,29,9,0,3,0.339,0.413,0.56,0.974,0.431,176.2,7.86,1998-08-20,2022
로하스20KRF,142,628,550,116,192,39,1,47,374,135,0,1,65,5,5,132,11,0,8,0.349,0.417,0.68,1.097,0.467,180.5,7.76,1990-05-24,2020
박병호15넥1B,140,622,528,129,181,35,1,53,377,146,10,3,78,12,6,161,10,0,4,0.343,0.436,0.714,1.15,0.481,181.9,7.76,1986-07-10,2015
최형우16삼LF,138,618,519,99,195,46,2,31,338,144,2,2,83,9,8,83,12,0,7,0.376,0.464,0.651,1.116,0.48,177.8,7.75,1983-12-16,2016
장종훈92빙1B,125,556,431,106,129,28,2,41,284,119,13,5,106,13,15,99,5,0,6,0.299,0.446,0.659,1.105,0.469,188.2,7.74,1968-04-10,1992
최형우11삼LF,133,571,480,80,163,37,3,30,296,118,4,3,76,5,15,88,8,0,10,0.34,0.427,0.617,1.044,0.457,182.2,7.64,1983-12-16,2011
서건창14넥2B,128,616,543,135,201,41,17,7,297,67,48,17,59,8,0,47,1,4,2,0.37,0.438,0.547,0.985,0.437,150.9,7.63,1989-08-22,2014
박재홍96현CF,126,547,481,75,142,29,4,30,269,108,36,17,53,7,7,107,7,0,6,0.295,0.369,0.559,0.929,0.411,166.2,7.5,1973-09-07,1996
박경완00현C,130,517,408,83,115,16,0,40,251,95,7,4,87,12,7,112,7,6,4,0.282,0.419,0.615,1.034,0.432,162.6,7.47,1972-07-11,2000
김재환17두LF,144,636,544,110,185,34,2,35,328,115,4,1,81,7,10,123,8,0,4,0.34,0.429,0.603,1.032,0.44,170.7,7.45,1988-09-22,2017
심정수02현RF,133,577,502,101,161,22,1,46,323,119,2,1,69,3,10,114,13,0,3,0.321,0.404,0.643,1.047,0.44,177.7,7.45,1975-05-05,2002
김동주07두3B,119,481,382,68,123,24,0,19,204,78,11,2,83,14,11,55,10,0,2,0.322,0.457,0.534,0.991,0.449,184.7,7.42,1976-02-03,2007
장효조83삼LF,92,386,317,61,117,19,3,18,196,62,22,2,58,6,6,39,1,0,5,0.369,0.469,0.618,1.087,0.483,215.4,7.4,1956-07-06,1983
유지현94LSS,126,574,482,109,147,20,0,15,212,51,51,10,64,8,0,60,4,14,6,0.305,0.391,0.44,0.831,0.376,141.5,7.35,1971-05-25,1994
김기태97쌍1B,111,478,390,95,134,30,3,26,248,79,10,7,84,2,14,54,11,0,2,0.344,0.46,0.636,1.096,0.472,202.6,7.3,1969-05-23,1997
최정12S3B,130,553,474,85,142,33,1,26,255,84,20,8,49,21,7,98,8,3,6,0.3,0.386,0.538,0.923,0.416,164.7,7.29,1987-02-28,2012
김기태98쌍1B,126,541,434,84,134,28,4,31,263,90,10,5,104,0,15,79,11,0,3,0.309,0.44,0.606,1.046,0.445,186.5,7.28,1969-05-23,1998
김동주00두3B,127,539,469,78,159,29,1,31,283,106,5,2,51,13,1,65,17,0,6,0.339,0.414,0.603,1.017,0.439,168.2,7.28,1976-02-03,2000
김하성19키SS,139,625,540,112,166,38,2,19,265,104,33,4,70,7,4,80,12,1,7,0.307,0.389,0.491,0.88,0.397,146.2,7.22,1995-10-17,2019
이정훈92빙CF,111,437,369,89,133,17,2,25,229,68,21,3,46,10,1,27,6,3,9,0.36,0.436,0.621,1.056,0.46,182,7.18,1963-08-28,1992
마해영99롯1B,132,579,503,111,187,38,4,35,338,119,6,9,59,10,5,65,11,0,7,0.372,0.442,0.672,1.114,0.468,180.7,7.18,1970-08-14,1999
김현수08두LF,126,558,470,83,168,34,5,9,239,89,13,8,80,5,1,40,12,0,2,0.357,0.454,0.509,0.963,0.446,176.5,7.14,1988-01-12,2008
최정13S3B,120,525,434,75,137,18,0,28,239,83,24,8,64,24,9,109,10,1,2,0.316,0.429,0.551,0.98,0.441,167.3,7.11,1987-02-28,2013
이종범03KCF,132,595,524,110,165,43,1,20,270,61,50,10,59,7,5,58,8,1,4,0.315,0.389,0.515,0.904,0.399,142.8,7.11,1970-08-15,2003
최익성97삼CF,122,568,480,107,142,25,2,22,237,65,33,5,61,18,1,81,6,7,2,0.296,0.394,0.494,0.888,0.395,148,7.1,1972-02-11,1997
박병호13넥1B,128,556,450,91,143,17,0,37,271,117,10,2,92,8,4,96,7,0,6,0.318,0.437,0.602,1.039,0.462,181.1,7.02,1986-07-10,2013
박건우17두CF,131,543,483,91,177,40,2,20,281,78,20,3,41,10,2,64,15,5,4,0.366,0.424,0.582,1.006,0.433,163.7,7,1990-09-08,2017
이대호07롯1B,121,514,415,79,139,21,1,29,249,87,1,0,81,13,25,55,9,0,5,0.335,0.453,0.6,1.053,0.461,194.2,7,1982-06-21,2007
홍창기21LCF,144,651,524,103,172,26,2,4,214,52,23,8,110,15,4,95,6,0,2,0.328,0.456,0.408,0.865,0.417,152.6,6.98,1993-11-21,2021
김태균12한1B,126,513,416,61,151,24,0,16,223,80,3,1,81,11,8,69,11,0,5,0.363,0.474,0.536,1.01,0.463,195.6,6.97,1982-05-29,2012
한대화90해3B,119,500,418,73,140,20,3,15,211,86,10,4,76,0,7,53,10,0,6,0.335,0.432,0.505,0.937,0.432,168.6,6.96,1960-07-08,1990
장종훈90빙SS,120,496,411,73,119,15,3,28,224,91,8,7,69,11,5,84,3,0,5,0.29,0.401,0.545,0.946,0.429,165.1,6.94,1968-04-10,1990
김재환18두LF,139,602,527,104,176,36,1,44,346,133,2,0,59,9,4,134,6,0,7,0.334,0.405,0.657,1.062,0.438,168.8,6.94,1988-09-22,2018
이대호11롯1B,133,570,493,76,176,26,1,27,285,113,2,0,63,8,8,60,22,0,6,0.357,0.433,0.578,1.011,0.455,180,6.89,1982-06-21,2011
김현수09두LF,133,572,482,97,172,31,6,23,284,104,6,6,80,4,5,59,7,0,6,0.357,0.448,0.589,1.037,0.452,169.5,6.88,1988-01-12,2009
정근우09S2B,127,565,480,98,168,29,4,9,232,59,53,13,67,11,1,55,8,2,5,0.35,0.437,0.483,0.92,0.417,145.9,6.86,1982-10-02,2009
홍현우92해2B,126,520,420,87,140,25,3,17,222,97,6,7,82,7,0,82,8,8,3,0.333,0.447,0.529,0.976,0.436,166.1,6.85,1972-09-28,1992
양준혁93삼1B,106,456,381,82,130,27,1,23,228,90,4,9,61,8,6,40,7,0,6,0.341,0.436,0.598,1.035,0.468,212,6.85,1969-05-26,1993
김하성20키SS,138,622,533,111,163,24,1,30,279,109,23,2,75,8,3,68,12,3,3,0.306,0.397,0.523,0.921,0.407,147,6.83,1995-10-17,2020
이승엽97삼1B,126,577,517,96,170,37,3,32,309,114,5,2,49,6,4,79,10,1,4,0.329,0.391,0.598,0.988,0.432,172.3,6.78,1976-08-18,1997
박재홍00현CF,132,572,489,101,151,31,5,32,288,115,30,14,64,7,5,77,15,0,12,0.309,0.388,0.589,0.977,0.415,150.7,6.75,1973-09-07,2000
이승엽98삼1B,126,568,477,100,146,32,2,38,296,102,0,2,78,5,10,97,4,1,7,0.306,0.404,0.621,1.024,0.434,175.9,6.73,1976-08-18,1998
이정후21키CF,123,543,463,78,167,42,6,7,242,84,10,3,62,9,1,37,8,0,9,0.361,0.438,0.523,0.961,0.441,165.8,6.73,1998-08-20,2021
양준혁07삼DH,123,544,442,78,149,34,0,22,249,72,20,8,91,7,15,44,12,1,2,0.337,0.456,0.563,1.019,0.455,187.9,6.72,1969-05-26,2007
피렐라22삼LF,124,553,488,89,168,25,4,25,276,98,14,4,51,12,12,67,14,0,2,0.344,0.418,0.566,0.983,0.437,171.6,6.71,1989-11-21,2022
김현수15두LF,141,630,512,103,167,26,0,28,277,121,11,5,101,8,12,63,13,0,9,0.326,0.438,0.541,0.979,0.427,163.2,6.7,1988-01-12,2015
양준혁95삼LF,125,527,438,81,137,34,1,20,233,84,8,2,77,6,8,50,7,0,6,0.313,0.418,0.532,0.949,0.422,174.5,6.68,1969-05-26,1995
최형우17KLF,142,629,514,98,176,36,3,26,296,120,0,1,96,11,8,82,15,0,8,0.342,0.45,0.576,1.026,0.442,163.5,6.65,1983-12-16,2017
박재홍97현CF,96,403,331,77,108,16,0,27,205,69,22,14,66,4,10,59,5,0,2,0.326,0.442,0.619,1.061,0.458,193.7,6.65,1973-09-07,1997
호세99롯LF,132,553,462,93,151,29,3,36,294,122,12,3,79,5,7,119,8,0,7,0.327,0.425,0.636,1.061,0.443,164.4,6.64,1965-06-02,1999
김기태92쌍1B,123,525,398,86,120,28,3,31,247,96,5,7,114,8,18,84,11,0,5,0.302,0.461,0.621,1.082,0.463,183.7,6.63,1969-05-23,1992
박병호18넥1B,113,488,400,88,138,20,0,43,287,112,0,1,68,17,10,114,9,0,3,0.345,0.457,0.718,1.175,0.478,190.9,6.62,1986-07-10,2018
양의지19NC,118,459,390,61,138,26,0,20,224,68,4,3,48,15,4,43,13,0,6,0.354,0.438,0.574,1.012,0.452,178.2,6.61,1987-06-05,2019
박정태92롯2B,124,529,445,91,149,43,3,14,240,79,7,7,69,5,2,42,12,3,7,0.335,0.424,0.539,0.963,0.429,160.2,6.6,1969-01-27,1992
최정17S3B,130,527,430,89,136,18,1,46,294,113,1,5,70,19,10,107,8,0,8,0.316,0.427,0.684,1.111,0.456,167.5,6.56,1987-02-28,2017
이만수85삼C,103,423,357,63,115,19,2,22,204,87,7,9,42,14,6,37,13,1,9,0.322,0.405,0.571,0.977,0.434,176.4,6.56,1958-09-19,1985
홍현우95해3B,125,531,465,63,142,24,1,16,216,65,34,5,58,4,7,65,1,1,3,0.305,0.385,0.465,0.849,0.383,148.2,6.53,1972-09-28,1995
이대호06롯1B,122,499,443,71,149,26,0,26,253,88,0,1,39,16,5,55,11,0,1,0.336,0.409,0.571,0.98,0.445,192.4,6.52,1982-06-21,2006
박병호12넥1B,133,560,469,76,136,34,0,31,263,105,20,9,73,11,3,111,6,0,7,0.29,0.393,0.561,0.954,0.43,174.5,6.51,1986-07-10,2012
나성범22KRF,127,576,492,84,159,35,2,21,261,94,6,1,62,17,6,119,6,0,5,0.323,0.413,0.53,0.944,0.424,166.8,6.45,1989-10-03,2022
나바로15삼2B,140,643,534,126,153,19,1,48,318,137,22,6,93,6,8,72,10,1,9,0.287,0.393,0.596,0.988,0.416,143.1,6.45,1987-10-31,2015
송지만00한RF,120,530,468,93,158,33,2,32,291,90,20,7,52,7,2,72,10,0,3,0.338,0.409,0.622,1.031,0.443,166.6,6.44,1973-03-02,2000
양의지18두C,133,503,439,84,157,29,1,23,257,77,6,0,45,13,6,40,13,0,6,0.358,0.427,0.585,1.013,0.431,160.5,6.42,1987-06-05,2018
심재학01두RF,117,469,369,83,127,20,1,24,221,88,7,1,86,7,8,50,6,4,3,0.344,0.473,0.599,1.072,0.466,179.5,6.41,1972-10-18,2001
페르난데스02S3B,132,556,499,81,140,24,0,45,299,107,4,4,49,7,2,114,8,0,1,0.281,0.353,0.599,0.952,0.404,153.3,6.39,1974-11-02,2002
우즈98O1B,126,521,452,77,138,14,1,42,280,103,1,2,65,2,5,115,13,0,2,0.305,0.394,0.619,1.013,0.434,181.2,6.38,1969-08-19,1998
양준혁04삼1B,133,584,479,95,151,30,0,28,265,103,5,2,89,13,8,53,10,1,2,0.315,0.434,0.553,0.987,0.439,167.5,6.37,1969-05-26,2004
최정19S3B,141,606,503,86,147,27,0,29,261,99,3,2,69,26,6,92,4,0,8,0.292,0.399,0.519,0.918,0.411,149.3,6.36,1987-02-28,2019
이정훈91빙RF,111,433,379,81,132,21,12,17,228,55,18,6,43,4,2,33,6,4,3,0.348,0.417,0.602,1.019,0.451,183.2,6.36,1963-08-28,1991
데이비스05한CF,118,507,431,90,139,24,0,24,235,86,7,3,65,5,7,76,8,0,6,0.323,0.412,0.545,0.958,0.424,160.4,6.35,1969-10-03,2005
쿨바98현3B,115,471,410,68,130,27,1,26,237,97,2,3,51,5,3,102,5,0,5,0.317,0.395,0.578,0.973,0.421,169.8,6.35,1966-06-13,1998
강백호21K1B,142,627,516,76,179,40,1,16,269,102,10,5,103,0,10,85,7,0,8,0.347,0.45,0.521,0.971,0.443,165.5,6.35,1999-07-29,2021
이만수87삼C,85,357,299,56,103,14,1,18,173,76,6,2,47,4,4,23,16,0,7,0.344,0.431,0.579,1.01,0.458,191.5,6.34,1958-09-19,1987
테임즈14N1B,125,514,443,95,152,30,6,37,305,121,11,2,58,7,5,99,6,0,6,0.343,0.422,0.688,1.111,0.464,168.3,6.32,1986-11-10,2014
홍문종84롯CF,100,415,360,62,122,25,7,11,194,53,36,20,43,7,12,36,2,1,4,0.339,0.416,0.539,0.954,0.426,177.7,6.32,1954-11-14,1984
김성래93삼1B,124,521,436,64,131,18,2,28,237,91,2,1,69,5,0,72,17,2,9,0.3,0.395,0.544,0.939,0.428,183,6.3,1961-03-23,1993
손아섭14롯RF,122,570,483,105,175,25,3,18,260,80,10,3,80,5,7,78,7,0,2,0.362,0.456,0.538,0.994,0.443,154.6,6.26,1988-03-18,2014
이만수84삼C,89,342,300,45,102,17,1,23,190,80,3,8,26,12,3,37,10,0,4,0.34,0.409,0.633,1.043,0.467,204.6,6.25,1958-09-19,1984
브리또01SSS,122,510,422,59,135,27,0,22,228,80,7,3,57,24,7,53,12,2,5,0.32,0.425,0.54,0.966,0.426,151,6.23,1972-05-28,2001
박병호14넥1B,128,571,459,126,139,16,2,52,315,124,8,3,96,12,3,142,13,0,4,0.303,0.433,0.686,1.119,0.466,162.9,6.23,1986-07-10,2014
나바로14삼2B,125,602,500,118,154,27,1,31,276,98,25,9,96,1,1,71,7,0,5,0.308,0.417,0.552,0.969,0.424,139.2,6.23,1987-10-31,2014
이순철88해CF,108,477,406,81,127,26,2,13,196,52,58,20,52,12,2,37,7,4,3,0.313,0.404,0.483,0.887,0.404,153,6.22,1961-04-18,1988
이순철92해CF,122,566,492,101,152,22,3,21,243,76,44,16,60,7,1,63,14,3,4,0.309,0.389,0.494,0.883,0.397,140.3,6.22,1961-04-18,1992
샌즈19키RF,139,613,525,100,160,39,1,28,285,113,1,2,77,6,1,101,17,0,5,0.305,0.396,0.543,0.939,0.421,163.6,6.21,1987-09-28,2019
양준혁03삼LF,133,551,490,90,161,37,2,33,301,92,2,5,49,6,2,49,13,4,2,0.329,0.395,0.614,1.009,0.435,166.3,6.21,1969-05-26,2003
양준혁98삼DH,126,552,456,80,156,30,1,27,269,89,15,14,87,5,26,69,14,0,3,0.342,0.45,0.59,1.04,0.442,181.7,6.2,1969-05-26,1998
홍성흔04두C,133,552,501,62,165,27,2,14,238,86,10,7,36,10,2,70,8,3,2,0.329,0.384,0.475,0.859,0.391,135.7,6.17,1977-02-28,2004
장종훈95한1B,126,498,420,77,137,25,4,22,236,78,8,9,68,6,16,63,10,0,4,0.326,0.424,0.562,0.986,0.431,183.1,6.14,1968-04-10,1995
최정21S3B,134,555,436,92,121,17,1,35,245,100,8,6,84,22,3,102,9,1,12,0.278,0.41,0.562,0.972,0.431,155.9,6.14,1987-02-28,2021
이종범93해SS,126,525,475,85,133,16,4,16,205,53,73,19,32,6,2,35,11,8,4,0.28,0.331,0.432,0.762,0.35,127.4,6.14,1970-08-15,1993
김태균08한1B,115,484,410,81,133,27,1,31,255,92,2,0,64,5,4,67,8,0,5,0.324,0.417,0.622,1.039,0.461,183.4,6.14,1982-05-29,2008
김동주02두3B,120,487,415,63,132,21,0,26,231,79,1,1,52,13,2,61,8,0,7,0.318,0.405,0.557,0.961,0.415,162.7,6.13,1976-02-03,2002
우즈00두1B,127,565,479,91,151,22,0,39,290,111,4,1,77,6,5,132,13,0,3,0.315,0.414,0.605,1.02,0.437,166.6,6.12,1969-08-19,2000
이만수91삼C,118,446,378,51,120,18,0,17,189,74,6,2,56,8,12,27,7,0,3,0.317,0.414,0.5,0.914,0.411,154.6,6.08,1958-09-19,1991
유지현98LSS,126,564,476,94,132,36,1,12,206,61,40,7,71,6,4,78,3,9,2,0.277,0.377,0.433,0.809,0.358,126.3,6.08,1971-05-25,1998
김기태94쌍1B,108,454,376,70,119,20,4,25,222,79,9,10,74,2,13,70,10,0,2,0.316,0.43,0.59,1.02,0.449,191.2,6.07,1969-05-23,1994
나성범14NCF,123,536,477,88,157,28,5,30,285,101,14,5,42,15,2,128,4,1,1,0.329,0.4,0.597,0.998,0.429,146.2,6.06,1989-10-03,2014
이만수83삼C,98,410,357,53,105,12,0,27,198,74,0,3,41,8,2,51,11,2,2,0.294,0.378,0.555,0.932,0.418,170.3,6.05,1958-09-19,1983
서튼05현LF,119,521,424,76,124,18,2,35,251,102,0,2,86,4,8,101,3,0,7,0.292,0.411,0.592,1.003,0.435,168.8,6.05,1970-05-14,2005
데이비스01한CF,130,564,496,95,166,21,0,30,277,96,15,9,60,2,9,74,15,0,6,0.335,0.404,0.558,0.963,0.421,145.8,6.04,1969-10-03,2001
손아섭13롯RF,128,568,498,83,172,23,4,11,236,69,36,7,64,3,6,88,9,0,3,0.345,0.421,0.474,0.895,0.415,148.9,6.04,1988-03-18,2013
장성호02K1B,133,586,481,82,165,29,0,19,251,95,7,3,86,9,14,53,15,2,8,0.343,0.445,0.522,0.967,0.419,163.1,6.02,1977-10-18,2002
김태균03한1B,133,573,479,67,153,24,2,31,274,95,3,2,79,9,6,106,13,4,2,0.319,0.424,0.572,0.996,0.432,165.1,6,1982-05-29,2003
양의지20NC,130,528,461,86,151,26,1,33,278,124,5,2,46,14,7,47,11,1,6,0.328,0.4,0.603,1.003,0.432,154.3,6,1987-06-05,2020
김재현94LRF,125,535,463,81,134,26,3,21,229,80,21,4,55,12,2,86,7,0,5,0.289,0.376,0.495,0.87,0.395,155.1,5.97,1975-10-02,1994
테임즈16N1B,123,529,436,118,140,30,3,40,296,121,13,4,74,12,6,103,2,0,7,0.321,0.427,0.679,1.106,0.463,170.5,5.97,1986-11-10,2016
조인성10LC,133,511,457,69,145,24,1,28,255,107,2,0,41,3,8,83,19,5,5,0.317,0.374,0.558,0.932,0.401,140,5.96,1975-05-25,2010
장효조85삼LF,107,422,346,66,129,24,1,11,188,65,17,8,57,4,6,23,6,8,6,0.373,0.46,0.543,1.003,0.446,184.5,5.93,1956-07-06,1985
홍현우99해2B,129,561,487,99,146,26,0,34,274,111,31,6,64,3,1,104,10,3,4,0.3,0.382,0.563,0.944,0.401,136.3,5.91,1972-09-28,1999
백인천82MDH,72,298,250,55,103,23,1,19,185,64,11,3,42,3,10,17,5,0,3,0.412,0.497,0.74,1.237,0.528,227,5.88,1943-11-27,1982
유한준15넥RF,139,598,520,103,188,42,1,23,301,116,3,3,67,2,2,71,13,1,8,0.362,0.431,0.579,1.009,0.44,157.6,5.87,1981-07-01,2015
김상현09LK3B,121,496,448,77,141,30,2,36,283,127,7,5,41,6,1,103,11,0,1,0.315,0.379,0.632,1.011,0.431,155.4,5.87,1980-11-12,2009
김성한89해1B,118,513,414,93,116,18,0,26,212,84,32,8,84,9,11,62,7,0,6,0.28,0.407,0.512,0.92,0.421,164.4,5.86,1958-05-18,1989
박용택12LCF,127,556,499,82,152,34,3,11,225,76,30,8,42,7,1,66,9,1,7,0.305,0.362,0.451,0.813,0.377,136.9,5.86,1979-04-21,2012
박석민13삼3B,117,474,396,61,126,24,0,18,204,76,4,2,54,21,1,73,13,0,2,0.318,0.425,0.515,0.94,0.432,162,5.85,1985-06-22,2013
조성환08롯2B,123,525,462,79,151,27,3,10,214,81,31,3,37,11,0,81,6,4,11,0.327,0.382,0.463,0.845,0.387,136.6,5.82,1976-12-23,2008
최정16S3B,141,606,500,106,144,24,1,40,290,106,1,2,77,23,2,126,6,0,6,0.288,0.403,0.58,0.983,0.425,140.7,5.82,1987-02-28,2016
박용택09LLF,111,506,452,91,168,31,5,18,263,74,22,3,36,6,2,63,15,3,9,0.372,0.418,0.582,0.999,0.433,156.5,5.79,1979-04-21,2009
데이비스99한CF,130,578,525,93,172,31,3,30,299,106,35,18,41,5,1,93,14,2,5,0.328,0.379,0.57,0.948,0.404,138,5.79,1969-10-03,1999
나성범17NRF,125,561,498,103,173,42,2,24,291,99,17,7,48,12,10,116,8,0,3,0.347,0.415,0.584,1,0.428,154.3,5.78,1989-10-03,2017
홍현우97해3B,126,534,436,73,118,29,0,22,213,79,20,9,86,7,11,80,19,0,5,0.271,0.395,0.489,0.884,0.391,145.7,5.78,1972-09-28,1997
전준호95롯CF,124,540,458,93,141,13,12,1,181,42,69,25,62,6,3,54,5,8,6,0.308,0.393,0.395,0.788,0.359,131.4,5.78,1969-02-15,1995
최형우20KDH,140,600,522,93,185,37,1,28,308,115,0,0,70,5,5,101,9,0,3,0.354,0.433,0.59,1.023,0.45,169.6,5.77,1983-12-16,2020
터커20KRF,142,631,542,100,166,40,0,32,302,113,0,2,76,9,3,67,12,0,4,0.306,0.398,0.557,0.955,0.42,149.9,5.76,1990-07-06,2020
김동주09두3B,105,426,354,63,125,28,0,19,210,86,3,1,61,8,10,55,17,0,3,0.353,0.455,0.593,1.049,0.454,170.9,5.76,1976-02-03,2009
최정11S3B,113,488,403,64,125,25,1,20,212,75,15,5,46,20,1,72,8,13,6,0.31,0.402,0.526,0.928,0.411,152,5.76,1987-02-28,2011
김재환16두LF,134,568,492,107,160,32,3,37,309,124,8,2,71,0,3,107,9,0,5,0.325,0.407,0.628,1.035,0.442,162.7,5.75,1988-09-22,2016
양의지21NDH,141,570,480,81,156,29,2,30,279,111,2,1,69,11,5,60,12,0,10,0.325,0.414,0.581,0.995,0.443,165.4,5.74,1987-06-05,2021
손아섭17롯RF,144,667,576,113,193,35,4,20,296,80,25,8,83,4,8,96,7,1,3,0.335,0.42,0.514,0.934,0.41,140,5.72,1988-03-18,2017
이병규04LCF,129,562,496,95,160,26,2,14,232,64,8,4,50,12,1,72,14,3,1,0.323,0.397,0.468,0.865,0.396,139.4,5.72,1974-10-25,2004
김성래88삼2B,96,386,314,54,110,18,2,10,162,54,7,4,58,7,2,43,6,5,2,0.35,0.459,0.516,0.975,0.442,178.6,5.71,1961-03-23,1988
김성래87삼2B,99,385,334,59,111,11,1,22,190,70,2,5,45,3,3,38,8,0,3,0.332,0.413,0.569,0.982,0.45,185.5,5.71,1961-03-23,1987
이호성91해LF,121,520,434,98,125,12,7,21,214,84,25,7,67,12,1,65,6,2,5,0.288,0.394,0.493,0.887,0.404,150.7,5.71,1967-07-17,1991
김응국96롯LF,126,518,446,62,143,22,6,9,204,64,26,7,65,2,6,61,11,1,4,0.321,0.406,0.457,0.864,0.394,152.8,5.69,1966-01-14,1996
전준우18롯LF,144,614,556,118,190,36,2,33,329,90,7,7,48,7,1,82,12,1,2,0.342,0.4,0.592,0.991,0.421,146.3,5.67,1986-02-25,2018
로하스18KCF,144,645,564,114,172,30,1,43,333,114,18,13,71,7,4,142,10,1,2,0.305,0.388,0.59,0.979,0.41,138.5,5.66,1990-05-24,2018
양의지15두C,132,513,442,70,144,27,0,20,231,93,5,4,39,24,3,64,7,2,6,0.326,0.405,0.523,0.928,0.408,149.1,5.65,1987-06-05,2015
심정수99두RF,132,544,480,79,161,35,1,31,291,110,1,4,53,8,4,77,17,0,3,0.335,0.408,0.606,1.014,0.431,158.7,5.64,1975-05-05,1999
장성호99해LF,129,559,485,110,166,32,1,24,272,62,5,3,61,8,2,71,9,0,5,0.342,0.42,0.561,0.981,0.425,152,5.63,1977-10-18,1999
동봉철92삼CF,126,511,410,95,130,18,7,11,195,52,24,17,72,13,2,63,5,14,2,0.317,0.433,0.476,0.908,0.406,145.5,5.63,1970-01-02,1992
이만수90삼C,110,421,359,50,103,13,0,26,194,57,3,4,54,5,6,37,16,0,2,0.287,0.386,0.54,0.926,0.419,157.7,5.63,1958-09-19,1990
이범호04한3B,133,541,481,80,148,35,3,23,258,74,6,3,48,3,1,80,8,5,4,0.308,0.371,0.536,0.908,0.401,140.7,5.61,1981-11-25,2004
김동주03두DH,118,504,401,61,137,23,2,23,233,89,3,2,79,11,8,53,15,0,13,0.342,0.45,0.581,1.031,0.446,177.9,5.61,1976-02-03,2003
